Wavelength,Flux,BestFit,SkyFlux
3842.377,1.017,1.245,5.128
3843.263,1.972,1.282,5.060
3844.147,0.116,1.311,5.219
3845.032,0.259,1.338,5.625
3845.918,2.351,1.364,5.471
3846.803,2.049,1.391,5.152
3847.690,2.567,1.414,4.653
3848.575,1.928,1.432,4.267
3849.463,0.982,1.445,4.354
3850.348,1.431,1.452,4.534
3851.234,1.852,1.453,4.913
3852.122,1.481,1.446,4.621
3853.008,1.969,1.437,4.058
3853.897,1.875,1.430,3.982
3854.783,1.989,1.430,3.817
3855.672,2.685,1.437,3.871
3856.559,1.719,1.448,3.967
3857.446,1.645,1.459,3.815
3858.336,1.078,1.470,3.272
3859.223,0.772,1.481,2.755
3860.113,0.613,1.488,2.940
3861.001,0.191,1.492,3.451
3861.892,0.553,1.491,3.627
3862.780,2.702,1.490,3.890
3863.669,1.546,1.491,4.199
3864.560,1.399,1.490,3.910
3865.449,1.700,1.482,3.620
3866.340,1.058,1.464,3.604
3867.230,2.702,1.436,3.714
3868.121,0.906,1.404,3.737
3869.011,1.450,1.374,3.731
3869.901,1.336,1.349,3.088
3870.794,0.797,1.328,2.781
3871.684,1.132,1.305,2.586
3872.577,0.100,1.281,2.811
3873.468,1.783,1.253,3.019
3874.361,1.870,1.222,3.467
3875.252,1.776,1.187,3.659
3876.144,1.962,1.150,3.426
3877.038,1.303,1.115,3.179
3877.930,0.155,1.080,3.132
3878.824,0.927,1.042,3.262
3879.716,1.312,0.993,3.122
3880.611,0.450,0.930,2.819
3881.504,0.042,0.854,2.889
3882.396,0.867,0.774,2.757
3883.292,0.611,0.695,2.690
3884.185,0.603,0.629,3.006
3885.081,0.728,0.585,2.791
3885.975,0.301,0.570,3.062
3886.871,0.579,0.584,3.143
3887.765,1.518,0.623,3.873
3888.659,0.240,0.681,4.695
3889.556,1.570,0.748,4.770
3890.451,2.279,0.814,4.409
3891.348,0.960,0.874,3.446
3892.243,0.159,0.925,3.264
3893.141,1.351,0.967,3.584
3894.036,1.205,1.002,3.571
3894.934,1.082,1.033,3.231
3895.830,1.305,1.062,3.231
3896.726,1.512,1.089,3.481
3897.625,1.289,1.114,3.259
3898.522,0.931,1.136,3.347
3899.421,1.348,1.158,3.432
3900.318,1.289,1.178,3.526
3901.217,0.806,1.195,4.044
3902.115,1.754,1.213,4.015
3903.012,2.313,1.236,4.090
3903.912,0.816,1.265,4.474
3904.810,0.467,1.298,4.458
3905.711,-0.447,1.330,5.363
3906.609,1.519,1.354,5.630
3907.510,1.510,1.367,5.960
3908.409,0.371,1.368,5.546
3909.308,1.312,1.362,5.848
3910.210,0.994,1.353,6.315
3911.109,1.381,1.345,6.685
3912.011,1.421,1.338,6.539
3912.911,1.838,1.334,6.773
3913.813,1.975,1.332,6.842
3914.714,0.906,1.333,6.825
3915.614,0.481,1.335,5.861
3916.517,2.451,1.339,4.791
3917.418,1.583,1.347,4.517
3918.322,1.594,1.357,4.185
3919.223,2.413,1.367,4.176
3920.127,1.598,1.371,3.919
3921.029,1.865,1.368,3.753
3921.931,1.698,1.354,3.295
3922.835,1.047,1.329,3.013
3923.737,0.847,1.291,3.080
3924.642,0.901,1.240,3.256
3925.545,0.900,1.172,3.227
3926.450,1.773,1.085,3.253
3927.354,1.647,0.977,2.887
3928.257,1.653,0.853,2.516
3929.163,0.893,0.737,2.463
3930.067,0.966,0.664,2.546
3930.973,2.040,0.656,2.588
3931.877,-0.730,0.717,2.617
3932.784,1.377,0.828,2.989
3933.689,0.327,0.953,3.055
3934.594,-0.080,1.066,2.760
3935.501,1.169,1.155,2.303
3936.406,1.182,1.217,2.369
3937.314,1.547,1.255,2.624
3938.220,1.310,1.273,2.838
3939.128,2.218,1.279,3.099
3940.034,1.929,1.278,3.577
3940.941,0.783,1.273,4.123
3941.849,1.478,1.267,4.562
3942.756,3.295,1.260,4.431
3943.665,2.088,1.253,4.838
3944.573,0.864,1.246,4.522
3945.482,1.085,1.237,4.235
3946.390,1.450,1.228,4.427
3947.298,0.723,1.219,4.636
3948.208,0.759,1.211,4.429
3949.116,1.595,1.203,4.101
3950.027,0.955,1.193,3.920
3950.936,0.752,1.178,3.854
3951.847,1.315,1.161,3.747
3952.756,1.313,1.142,3.977
3953.665,1.359,1.122,3.647
3954.577,0.456,1.099,3.624
3955.487,0.822,1.073,3.534
3956.399,0.480,1.046,3.585
3957.309,0.002,1.016,3.458
3958.221,1.527,0.981,3.219
3959.132,2.427,0.938,3.150
3960.045,0.607,0.885,3.569
3960.956,1.462,0.822,3.522
3961.867,1.616,0.749,3.225
3962.781,0.664,0.669,3.164
3963.692,1.321,0.589,2.811
3964.606,0.850,0.519,2.432
3965.518,-0.259,0.472,2.487
3966.433,-0.003,0.459,2.395
3967.345,0.263,0.481,2.435
3968.258,0.178,0.531,2.262
3969.173,0.767,0.597,2.192
3970.086,1.239,0.671,2.285
3971.002,0.052,0.741,2.275
3971.915,1.050,0.804,2.397
3972.831,1.154,0.860,2.375
3973.745,0.196,0.909,2.411
3974.659,1.108,0.953,3.015
3975.576,1.879,0.990,3.361
3976.490,1.955,1.021,3.576
3977.407,1.367,1.049,3.775
3978.322,0.992,1.075,3.937
3979.240,1.511,1.096,3.598
3980.155,2.377,1.114,3.674
3981.071,1.973,1.128,3.595
3981.989,2.195,1.144,3.412
3982.905,0.828,1.162,3.781
3983.823,0.828,1.181,3.900
3984.740,1.724,1.200,3.727
3985.659,0.545,1.218,3.907
3986.576,0.566,1.235,3.680
3987.493,1.756,1.251,3.307
3988.412,1.226,1.265,3.453
3989.330,0.803,1.276,3.778
3990.250,1.464,1.283,3.662
3991.168,1.902,1.283,3.445
3992.088,1.999,1.279,3.528
3993.006,1.987,1.274,3.429
3993.925,0.666,1.272,3.212
3994.846,0.626,1.276,3.525
3995.765,2.077,1.284,3.387
3996.686,2.164,1.295,3.115
3997.606,0.894,1.304,2.998
3998.528,2.076,1.307,3.487
3999.447,1.633,1.301,3.472
4000.368,1.121,1.292,3.764
4001.290,1.242,1.285,3.713
4002.211,0.824,1.285,3.690
4003.133,2.031,1.291,3.623
4004.054,1.472,1.302,3.392
4004.978,1.759,1.317,3.122
4005.899,1.511,1.329,3.673
4006.821,0.400,1.335,3.927
4007.745,0.517,1.336,4.090
4008.666,1.715,1.335,4.532
4009.591,2.465,1.334,4.531
4010.513,1.859,1.336,4.881
4011.438,1.250,1.339,4.586
4012.361,1.164,1.345,4.537
4013.284,1.262,1.352,4.894
4014.209,2.525,1.359,4.629
4015.133,1.701,1.365,4.607
4016.059,1.894,1.366,4.671
4016.983,1.841,1.360,4.155
4017.909,0.705,1.351,4.180
4018.833,0.285,1.345,4.388
4019.758,1.370,1.343,4.482
4020.685,2.866,1.341,4.609
4021.610,2.251,1.339,4.623
4022.537,1.178,1.337,4.856
4023.462,0.864,1.335,5.045
4024.390,0.701,1.331,4.915
4025.316,1.296,1.324,4.483
4026.242,1.718,1.312,4.273
4027.171,2.302,1.299,4.251
4028.097,2.371,1.290,3.637
4029.026,1.858,1.289,3.761
4029.953,1.628,1.295,3.830
4030.882,1.571,1.307,4.040
4031.809,1.008,1.323,3.751
4032.739,2.635,1.340,3.587
4033.667,2.566,1.353,3.873
4034.595,0.603,1.363,4.131
4035.525,1.408,1.368,3.985
4036.453,2.539,1.369,3.681
4037.384,1.277,1.366,3.634
4038.313,1.164,1.357,4.055
4039.244,0.969,1.344,4.413
4040.173,0.455,1.329,4.449
4041.103,1.581,1.317,4.176
4042.035,1.696,1.311,4.771
4042.965,1.492,1.311,5.073
4043.897,1.491,1.315,5.545
4044.827,1.230,1.325,6.173
4045.760,0.739,1.335,7.274
4046.691,0.582,1.340,8.943
4047.622,0.319,1.339,10.053
4048.555,1.235,1.332,8.923
4049.486,1.608,1.321,7.641
4050.420,1.570,1.310,6.116
4051.352,1.191,1.300,5.032
4052.286,0.404,1.295,4.677
4053.218,1.581,1.295,4.667
4054.151,1.171,1.300,4.530
4055.086,1.691,1.305,4.274
4056.019,1.618,1.307,4.478
4056.954,0.340,1.304,3.984
4057.887,0.515,1.298,4.036
4058.823,2.030,1.291,3.814
4059.757,1.136,1.283,4.193
4060.691,1.538,1.274,4.418
4061.627,1.910,1.269,4.495
4062.561,1.139,1.270,4.917
4063.498,1.319,1.274,4.710
4064.433,2.080,1.277,4.890
4065.370,1.933,1.275,5.348
4066.305,1.225,1.269,5.358
4067.241,0.806,1.263,5.370
4068.179,1.037,1.257,5.371
4069.115,1.458,1.250,5.073
4070.053,1.274,1.240,5.161
4070.989,0.996,1.227,4.800
4071.928,0.750,1.214,4.582
4072.865,1.073,1.202,4.485
4073.802,1.525,1.194,4.030
4074.741,1.107,1.188,4.486
4075.679,1.325,1.187,4.855
4076.618,1.760,1.191,5.145
4077.556,1.019,1.195,5.248
4078.497,0.829,1.196,5.186
4079.435,1.432,1.191,4.971
4080.373,0.676,1.182,4.987
4081.314,0.465,1.171,5.157
4082.253,0.676,1.160,5.005
4083.194,1.155,1.149,4.390
4084.134,1.477,1.139,4.168
4085.076,1.495,1.128,4.366
4086.015,1.516,1.116,4.611
4086.955,1.647,1.101,4.347
4087.898,2.240,1.082,4.317
4088.838,1.493,1.058,4.161
4089.781,0.667,1.030,4.243
4090.722,0.863,0.997,3.968
4091.665,0.777,0.961,3.821
4092.606,-0.035,0.921,3.958
4093.548,1.201,0.876,3.808
4094.492,1.377,0.824,3.932
4095.434,0.890,0.771,3.844
4096.378,0.901,0.722,3.780
4097.321,0.583,0.686,3.570
4098.265,0.232,0.669,3.477
4099.208,0.754,0.674,3.579
4100.151,0.608,0.698,3.794
4101.097,1.182,0.738,3.696
4102.040,2.028,0.787,3.706
4102.986,0.370,0.838,3.473
