Wavelength,Flux,BestFit,SkyFlux
5261.385,0.897,1.112,3.172
5262.595,0.972,1.110,2.937
5263.806,1.446,1.110,2.837
5265.020,0.858,1.111,2.595
5266.231,1.077,1.113,2.581
5267.446,0.583,1.113,2.583
5268.657,0.808,1.114,2.763
5269.872,1.296,1.116,2.722
5271.085,1.184,1.119,2.972
5272.297,1.166,1.120,3.195
5273.513,1.069,1.121,3.042
5274.726,1.661,1.122,3.262
5275.942,1.389,1.123,3.551
5277.156,1.289,1.124,3.973
5278.373,1.836,1.125,3.388
5279.587,1.027,1.126,3.276
5280.805,1.212,1.127,2.975
5282.020,1.500,1.130,2.998
5283.235,1.176,1.133,2.957
5284.453,0.901,1.136,2.926
5285.669,1.039,1.137,2.964
5286.888,0.777,1.137,3.172
5288.104,0.817,1.136,3.097
5289.323,1.275,1.135,3.088
5290.540,1.343,1.133,3.284
5291.757,1.111,1.132,3.050
5292.977,1.041,1.131,3.153
5294.195,1.102,1.129,3.157
5295.416,1.313,1.128,3.199
5296.634,1.424,1.128,3.311
5297.856,0.952,1.127,3.496
5299.074,0.751,1.126,3.459
5300.293,1.241,1.123,3.700
5301.516,1.127,1.122,3.571
5302.735,0.687,1.125,3.381
5303.958,1.290,1.128,3.259
5305.178,1.223,1.129,3.121
5306.402,0.790,1.129,3.163
5307.622,1.119,1.127,3.373
5308.843,1.453,1.123,3.054
5310.067,0.784,1.119,3.357
5311.289,0.845,1.118,3.390
5312.514,1.211,1.117,3.422
5313.736,1.328,1.118,3.594
5314.961,1.316,1.119,3.728
5316.184,1.504,1.120,3.442
5317.407,1.306,1.121,3.306
5318.633,1.205,1.119,3.279
5319.857,1.126,1.116,3.159
5321.083,0.957,1.112,3.326
5322.308,0.988,1.109,3.591
5323.535,1.547,1.108,3.510
5324.760,1.380,1.109,3.543
5325.985,0.789,1.111,3.444
5327.213,0.862,1.113,3.590
5328.438,1.378,1.115,3.189
5329.667,1.385,1.116,3.133
5330.893,0.798,1.115,3.619
5332.122,0.910,1.113,3.724
5333.349,0.776,1.111,3.478
5334.576,1.103,1.111,3.561
5335.806,1.275,1.112,3.294
5337.033,0.830,1.113,3.457
5338.264,1.147,1.115,3.304
5339.492,1.118,1.116,3.342
5340.724,1.453,1.117,3.172
5341.952,0.932,1.118,3.378
5343.181,0.550,1.118,3.501
5344.413,1.285,1.117,3.711
5345.643,1.179,1.118,3.490
5346.875,0.747,1.119,3.384
5348.105,0.971,1.120,3.475
5349.339,0.933,1.120,3.521
5350.569,0.802,1.121,3.970
5351.800,1.015,1.121,3.925
5353.034,0.893,1.120,3.539
5354.266,1.524,1.119,3.415
5355.500,0.812,1.116,3.543
5356.732,0.932,1.113,4.010
5357.968,1.568,1.111,3.839
5359.200,1.248,1.108,3.609
5360.433,1.153,1.106,3.300
5361.669,0.978,1.105,3.239
5362.903,1.326,1.103,3.115
5364.139,1.169,1.103,3.127
5365.373,1.010,1.103,3.044
5366.611,1.450,1.105,3.167
5367.845,1.029,1.107,3.256
5369.080,0.610,1.109,3.228
5370.318,1.018,1.111,3.131
5371.554,1.168,1.112,2.956
5372.792,0.879,1.112,2.980
5374.028,0.875,1.111,3.269
5375.268,1.160,1.108,3.447
5376.504,0.574,1.106,3.723
5377.744,0.916,1.106,3.466
5378.981,1.156,1.106,3.631
5380.218,0.954,1.106,3.373
5381.459,0.841,1.108,3.385
5382.697,0.717,1.109,3.178
5383.938,1.108,1.110,3.149
5385.177,1.054,1.110,3.281
5386.419,1.359,1.108,3.122
5387.658,1.532,1.106,3.366
5388.897,1.003,1.105,3.604
5390.140,1.276,1.104,3.359
5391.380,1.302,1.103,3.370
5392.623,1.097,1.102,3.421
5393.864,0.962,1.101,3.435
5395.108,1.045,1.100,3.489
5396.349,1.217,1.098,3.102
5397.590,1.193,1.096,3.134
5398.835,1.096,1.095,3.352
5400.077,0.926,1.095,3.179
5401.322,1.261,1.094,3.114
5402.565,1.268,1.093,3.256
5403.810,0.553,1.094,3.352
5405.054,1.163,1.095,2.796
5406.297,1.063,1.095,3.073
5407.544,0.998,1.096,3.159
5408.788,1.179,1.096,3.363
5410.035,1.493,1.096,3.061
5411.280,1.548,1.097,3.224
5412.527,0.881,1.097,3.121
5413.773,1.091,1.097,3.374
5415.018,1.881,1.096,3.431
5416.267,1.693,1.096,3.678
5417.513,1.273,1.095,3.711
5418.762,1.709,1.094,3.523
5420.008,1.110,1.093,3.708
5421.258,0.883,1.092,3.731
5422.505,1.063,1.091,3.653
5423.753,1.078,1.092,3.644
5425.004,0.816,1.092,3.520
5426.252,0.740,1.092,3.577
5427.503,1.157,1.092,3.506
5428.752,1.039,1.092,3.507
5430.003,1.145,1.093,3.537
5431.253,1.393,1.095,3.354
5432.502,1.273,1.096,3.467
5433.755,0.847,1.096,3.567
5435.005,1.088,1.098,3.585
5436.258,1.338,1.098,3.758
5437.509,1.321,1.097,3.802
5438.763,1.153,1.095,3.779
5440.014,0.856,1.093,3.828
5441.265,0.890,1.092,3.844
5442.520,2.045,1.091,3.677
5443.772,1.055,1.091,3.874
5445.027,0.868,1.092,3.731
5446.280,1.221,1.093,3.696
5447.536,1.029,1.093,3.785
5448.789,0.566,1.092,3.712
5450.043,1.030,1.092,3.729
5451.299,0.484,1.091,3.781
5452.553,1.102,1.090,3.939
5453.811,1.536,1.090,3.587
5455.065,1.060,1.091,3.769
5456.323,0.758,1.091,3.490
5457.578,1.028,1.091,3.755
5458.834,0.286,1.090,4.988
5460.093,1.291,1.089,7.136
5461.349,1.241,1.089,10.624
5462.608,0.111,1.089,11.227
5463.865,0.643,1.090,8.766
5465.125,1.494,1.090,5.599
5466.382,1.603,1.089,4.466
5467.640,1.372,1.088,4.292
5468.900,1.117,1.085,3.922
5470.159,1.159,1.083,3.705
5471.420,1.365,1.082,3.812
5472.679,0.875,1.080,3.804
5473.941,1.501,1.080,3.958
5475.200,1.658,1.081,3.781
5476.463,1.202,1.083,3.800
5477.722,1.097,1.085,3.647
5478.982,1.620,1.086,3.607
5480.246,1.242,1.086,3.636
5481.507,0.932,1.086,3.996
5482.771,0.784,1.086,4.288
5484.032,0.551,1.085,3.989
5485.297,0.571,1.084,4.069
5486.558,1.073,1.084,4.234
5487.821,0.933,1.084,4.045
5489.086,0.759,1.084,3.587
5490.349,0.860,1.083,3.838
5491.615,1.153,1.083,3.641
5492.878,1.317,1.082,3.569
5494.145,1.259,1.081,3.542
5495.409,1.432,1.080,3.586
5496.673,0.935,1.079,3.507
5497.941,0.902,1.079,3.571
5499.205,0.984,1.078,3.682
5500.473,1.077,1.078,3.926
5501.739,1.567,1.078,3.866
5503.008,1.736,1.078,3.648
5504.274,1.054,1.078,3.739
5505.540,1.088,1.078,3.466
5506.809,1.285,1.078,3.712
5508.076,1.237,1.079,3.657
5509.346,1.257,1.079,3.703
5510.614,0.966,1.080,3.898
5511.884,1.285,1.080,3.820
5513.152,1.196,1.081,3.831
5514.421,1.109,1.081,4.043
5515.692,1.116,1.081,3.979
5516.961,0.843,1.080,3.949
5518.233,1.110,1.078,3.582
5519.503,1.236,1.075,3.847
5520.776,1.092,1.072,4.110
5522.046,1.069,1.070,4.293
5523.316,1.375,1.069,4.021
5524.590,1.507,1.068,4.024
5525.861,0.724,1.068,3.810
5527.135,1.436,1.069,3.811
5528.406,0.825,1.071,4.086
5529.681,0.379,1.072,3.684
5530.953,1.098,1.073,3.819
5532.226,1.500,1.073,3.497
5533.501,1.239,1.074,3.805
5534.774,1.120,1.075,3.724
5536.051,1.016,1.075,3.496
5537.324,1.261,1.075,3.665
5538.601,1.389,1.074,3.619
5539.875,0.842,1.073,3.878
5541.150,1.215,1.073,4.056
5542.428,1.052,1.073,4.447
5543.703,1.235,1.073,5.172
5544.981,1.156,1.073,5.214
5546.257,0.835,1.073,5.261
5547.536,1.159,1.073,4.759
5548.812,1.252,1.073,4.100
5550.088,1.289,1.072,4.137
5551.368,1.016,1.071,4.150
5552.645,0.809,1.071,3.913
5553.926,0.960,1.071,3.776
5555.203,1.158,1.071,3.921
5556.484,0.948,1.070,3.829
5557.763,1.418,1.069,3.757
5559.041,0.961,1.069,3.945
5560.323,0.783,1.068,3.950
5561.602,1.270,1.067,3.865
5562.885,1.142,1.066,4.385
5564.164,1.318,1.065,5.224
5565.447,1.343,1.064,5.747
5566.728,1.371,1.064,5.087
5568.008,1.348,1.063,4.179
5569.292,1.267,1.063,4.227
5570.574,1.166,1.064,4.464
5571.858,0.878,1.065,4.387
5573.140,0.899,1.066,3.913
5574.425,0.920,1.066,0.000
5575.707,0.942,1.066,0.000
5576.993,0.963,1.066,0.000
5578.276,0.984,1.064,0.000
5579.559,1.006,1.062,0.000
5580.846,1.027,1.060,0.000
5582.130,1.048,1.058,0.000
5583.417,1.069,1.057,6.060
5584.702,1.091,1.056,4.420
5585.989,1.063,1.055,4.082
5587.275,1.132,1.056,3.971
5588.560,1.310,1.057,4.339
5589.849,1.205,1.057,5.237
5591.135,1.045,1.057,5.162
5592.424,1.190,1.056,4.646
5593.710,1.372,1.055,3.796
5595.000,0.797,1.055,3.821
5596.287,1.517,1.055,3.789
5597.575,0.604,1.055,4.133
5598.866,0.336,1.057,4.347
5600.154,1.505,1.058,4.295
5601.445,0.575,1.059,4.165
5602.734,0.967,1.060,4.009
5604.026,1.051,1.061,4.487
5605.315,1.100,1.061,5.324
5606.604,1.112,1.059,5.882
5607.897,1.220,1.057,5.627
5609.187,1.756,1.056,4.083
5610.481,1.324,1.055,4.013
5611.771,0.854,1.054,3.864
5613.065,0.955,1.054,3.863
5614.357,1.012,1.054,3.992
5615.648,0.947,1.054,3.994
5616.943,1.423,1.054,4.088
5618.235,0.970,1.054,4.655
5619.531,1.222,1.054,4.390
5620.824,1.137,1.054,4.181
5622.120,1.138,1.054,4.437
5623.413,1.364,1.054,4.610
5624.707,0.795,1.054,5.444
5626.004,0.963,1.055,5.242
5627.298,1.215,1.055,4.336
5628.596,1.290,1.054,3.935
5629.891,1.148,1.053,3.771
5631.189,0.979,1.052,3.834
5632.484,0.997,1.051,3.950
5633.780,0.781,1.050,4.207
5635.079,1.133,1.050,4.082
5636.376,1.204,1.050,3.939
5637.675,1.039,1.050,3.972
5638.972,1.100,1.050,4.136
5640.273,1.202,1.050,4.419
5641.570,0.820,1.050,4.405
5642.868,1.679,1.050,4.112
5644.169,1.370,1.050,4.292
5645.468,0.816,1.050,4.795
5646.769,1.140,1.049,5.106
5648.069,1.029,1.047,4.773
5649.371,1.269,1.045,4.294
5650.671,1.512,1.044,3.997
5651.971,1.289,1.042,4.169
5653.274,0.993,1.041,4.121
5654.574,1.143,1.040,4.152
5655.878,1.466,1.040,4.109
5657.179,1.018,1.040,4.203
5658.484,1.274,1.040,4.270
5659.786,1.290,1.041,4.235
5661.088,1.214,1.042,3.955
5662.393,1.507,1.042,3.822
5663.696,1.618,1.043,4.425
5665.002,1.067,1.043,4.638
5666.305,1.253,1.043,4.611
5667.612,0.933,1.043,4.860
5668.916,0.893,1.044,5.012
5670.220,1.425,1.043,5.586
5671.527,0.892,1.043,5.580
5672.832,0.674,1.043,6.076
5674.140,1.330,1.041,5.747
5675.445,1.016,1.040,5.371
5676.754,0.543,1.039,5.046
5678.060,1.004,1.037,5.343
5679.369,1.365,1.036,5.129
5680.676,1.015,1.035,5.248
5681.983,1.099,1.035,5.992
5683.293,0.824,1.035,6.561
5684.600,0.463,1.035,7.701
5685.911,0.656,1.036,8.003
5687.219,1.155,1.036,8.245
5688.531,1.360,1.037,8.706
5689.839,1.191,1.037,8.665
5691.148,1.099,1.037,8.470
5692.461,1.091,1.037,8.218
5693.770,1.203,1.036,7.255
5695.083,1.551,1.036,6.338
5696.393,1.077,1.035,6.019
5697.707,0.678,1.034,6.105
5699.018,1.000,1.033,6.051
5700.329,1.257,1.032,5.968
5701.643,0.962,1.030,5.919
5702.955,0.945,1.029,5.419
5704.270,1.191,1.028,5.369
5705.582,0.764,1.028,5.211
5706.898,0.851,1.029,4.919
5708.211,1.079,1.029,4.955
5709.524,0.934,1.029,5.226
5710.841,1.079,1.030,5.055
5712.154,0.985,1.030,5.216
5713.472,1.379,1.030,5.454
5714.786,1.528,1.030,5.205
5716.104,0.944,1.030,5.172
5717.419,0.555,1.030,5.153
5718.734,1.428,1.030,4.775
5720.053,0.702,1.030,4.998
5721.369,1.349,1.029,5.118
5722.688,1.611,1.029,5.022
5724.004,1.192,1.028,4.971
5725.324,1.014,1.028,4.947
5726.642,1.094,1.028,4.952
5727.959,0.758,1.027,5.027
5729.280,0.987,1.027,4.650
5730.598,1.176,1.027,4.702
5731.919,1.032,1.027,4.844
5733.238,0.745,1.026,4.680
5734.560,0.652,1.026,4.748
5735.879,1.175,1.025,4.666
5737.199,0.963,1.024,4.478
5738.522,1.115,1.024,4.573
5739.842,1.382,1.024,4.526
5741.165,1.341,1.023,4.282
5742.486,1.571,1.022,4.422
5743.810,1.134,1.021,4.547
5745.132,1.050,1.021,4.572
5746.453,1.064,1.020,4.654
5747.779,1.250,1.020,4.467
5749.101,1.421,1.019,4.596
5750.427,0.848,1.019,4.418
5751.749,0.466,1.019,4.730
5753.076,0.852,1.019,4.497
5754.399,0.857,1.019,4.512
5755.723,0.759,1.018,4.780
5757.050,1.153,1.018,4.490
5758.375,1.426,1.017,4.661
5759.703,1.049,1.016,4.723
5761.028,0.735,1.016,4.650
5762.356,1.016,1.016,4.918
5763.682,1.224,1.017,4.656
5765.008,1.063,1.017,4.691
5766.337,1.281,1.016,5.004
5767.664,1.050,1.016,5.664
5768.994,1.085,1.016,5.897
5770.321,0.935,1.015,6.580
5771.651,0.952,1.015,6.642
5772.979,1.203,1.014,5.726
5774.307,0.901,1.013,5.081
5775.639,1.180,1.013,4.813
5776.967,1.149,1.012,4.326
5778.300,1.193,1.012,4.829
5779.629,1.240,1.012,4.657
5780.962,1.174,1.012,4.530
5782.291,1.169,1.011,4.592
5783.625,0.311,1.011,4.851
5784.955,1.067,1.010,4.888
5786.286,1.467,1.010,4.794
5787.621,0.968,1.010,5.011
5788.952,0.617,1.010,5.715
5790.287,1.055,1.010,6.171
5791.619,1.616,1.010,6.663
5792.954,1.130,1.010,6.493
5794.287,0.817,1.010,5.771
5795.620,1.053,1.010,5.359
5796.957,1.149,1.009,4.941
5798.290,0.681,1.009,5.055
5799.627,0.845,1.009,4.854
5800.961,1.330,1.008,4.862
5802.299,1.018,1.008,5.045
5803.634,0.880,1.008,4.970
5804.969,1.470,1.008,5.031
5806.308,1.252,1.008,5.127
5807.643,1.040,1.008,5.119
5808.983,0.817,1.008,4.845
5810.319,1.014,1.007,5.205
5811.659,1.176,1.007,5.172
5812.996,1.066,1.006,4.996
5814.333,1.245,1.007,5.075
5815.674,0.758,1.006,5.080
5817.012,1.201,1.005,4.881
5818.353,0.918,1.005,5.271
5819.692,0.320,1.005,5.448
5821.034,0.457,1.005,5.088
5822.373,0.741,1.005,5.250
5823.712,1.391,1.005,5.216
5825.055,1.067,1.005,4.766
5826.395,1.073,1.005,4.725
5827.739,1.300,1.005,5.338
5829.079,1.185,1.004,5.163
5830.424,1.242,1.004,5.200
5831.765,1.014,1.004,5.572
5833.106,1.744,1.003,5.361
5834.451,1.305,1.003,5.291
5835.794,1.018,1.003,5.531
5837.139,1.712,1.003,5.208
5838.482,0.790,1.002,5.537
5839.829,1.149,1.001,5.538
5841.172,1.240,1.001,5.530
5842.516,1.143,1.001,5.312
5843.863,0.858,1.000,5.617
5845.207,0.712,0.999,5.408
5846.555,1.259,0.998,5.438
5847.900,0.187,0.997,5.806
5849.249,0.429,0.996,5.537
5850.594,1.201,0.995,5.714
5851.940,1.252,0.994,5.680
5853.290,1.008,0.994,5.571
5854.636,1.720,0.994,5.774
5855.986,1.109,0.994,5.879
5857.334,1.137,0.995,5.447
5858.684,1.078,0.995,5.899
5860.032,0.852,0.996,5.838
5861.380,1.075,0.996,6.027
5862.732,1.511,0.996,5.905
5864.080,0.859,0.996,6.567
5865.433,1.490,0.996,8.248
5866.782,1.087,0.995,10.547
5868.135,0.820,0.995,11.873
5869.485,1.352,0.995,10.782
5870.835,-0.098,0.994,9.404
5872.189,1.364,0.994,7.385
5873.540,0.965,0.994,7.230
5874.894,0.634,0.994,7.045
5876.246,0.850,0.993,6.941
5877.601,0.941,0.992,6.679
5878.953,1.490,0.991,6.134
5880.305,1.050,0.988,6.050
5881.661,0.840,0.985,5.787
5883.014,1.114,0.981,6.081
5884.371,1.064,0.978,6.145
5885.725,0.706,0.976,7.018
5887.082,1.112,0.976,11.613
5888.436,0.339,0.976,22.159
5889.794,2.852,0.976,38.891
5891.149,2.591,0.978,53.177
5892.504,2.400,0.979,47.215
5893.863,4.626,0.981,23.709
5895.219,2.183,0.982,22.640
5896.578,1.938,0.984,33.133
5897.935,-0.366,0.986,37.640
5899.295,0.178,0.987,19.042
5900.652,1.823,0.987,9.363
5902.010,1.110,0.987,7.161
5903.371,0.928,0.987,6.739
5904.729,0.424,0.986,6.975
5906.090,0.846,0.985,7.296
5907.449,0.771,0.984,8.121
5908.811,0.481,0.984,7.952
5910.170,0.880,0.984,7.467
5911.530,1.211,0.984,6.744
5912.893,0.961,0.984,7.225
5914.254,0.852,0.983,8.416
5915.617,0.668,0.983,10.912
5916.978,0.263,0.983,11.889
5918.343,0.449,0.983,9.794
5919.704,1.824,0.982,7.318
5921.066,0.694,0.981,6.800
5922.431,1.154,0.981,7.112
5923.794,1.011,0.981,7.636
5925.160,0.951,0.981,8.613
5926.523,1.758,0.980,8.792
5927.890,0.840,0.980,8.139
5929.253,1.875,0.980,7.218
5930.617,1.446,0.980,7.581
5931.985,1.173,0.980,9.415
5933.350,1.072,0.980,12.255
5934.718,0.584,0.980,12.356
5936.083,1.032,0.979,9.903
5937.452,1.001,0.978,7.546
5938.818,1.601,0.978,7.099
5940.184,0.955,0.977,6.951
5941.554,0.426,0.977,6.887
5942.921,1.289,0.976,6.820
5944.291,0.897,0.976,7.014
5945.659,0.357,0.976,7.944
5947.030,1.194,0.976,8.870
5948.398,0.712,0.976,8.293
5949.766,0.482,0.976,7.143
5951.138,1.560,0.975,7.518
5952.507,0.342,0.974,8.949
5953.880,1.628,0.974,10.869
5955.249,1.495,0.974,11.673
5956.623,1.253,0.974,9.393
5957.993,1.156,0.974,7.267
5959.364,0.601,0.974,6.700
5960.738,0.598,0.974,6.601
5962.109,1.062,0.974,6.699
5963.484,0.993,0.973,6.969
5964.856,0.902,0.973,6.726
5966.231,1.243,0.973,6.493
5967.604,1.527,0.973,6.675
5968.977,0.926,0.972,7.019
5970.353,0.921,0.971,7.663
5971.727,1.012,0.970,7.977
5973.104,0.603,0.970,7.562
5974.478,0.576,0.970,7.218
5975.856,0.987,0.969,7.412
5977.230,0.236,0.968,9.424
5978.605,1.436,0.968,9.292
5979.984,0.859,0.967,8.402
5981.360,0.607,0.967,7.327
5982.739,1.216,0.967,6.234
5984.115,1.428,0.967,6.284
5985.495,1.191,0.967,6.371
5986.872,0.913,0.967,6.246
5988.249,0.900,0.967,6.079
5989.630,0.874,0.967,6.180
5991.008,1.282,0.967,6.128
5992.390,1.936,0.967,6.256
5993.768,1.343,0.967,6.203
5995.150,1.194,0.966,6.075
5996.530,1.167,0.965,6.619
5997.912,1.413,0.964,6.639
5999.292,1.149,0.964,7.015
6000.672,0.414,0.964,6.477
6002.056,1.118,0.963,6.231
6003.437,1.487,0.963,6.723
6004.821,1.272,0.962,7.464
6006.203,1.069,0.962,6.984
6007.588,0.866,0.962,6.025
6008.970,0.599,0.962,5.701
6010.352,0.770,0.961,5.268
6011.738,0.811,0.961,5.457
6013.121,0.811,0.960,5.449
6014.508,1.076,0.960,5.537
6015.891,1.228,0.960,5.520
6017.278,1.013,0.959,5.365
6018.663,0.935,0.959,5.246
6020.047,0.332,0.959,5.513
6021.436,0.368,0.959,5.439
6022.821,0.930,0.960,5.155
6024.210,0.841,0.960,5.281
6025.595,0.267,0.960,5.471
6026.985,1.239,0.960,5.168
6028.371,1.073,0.960,5.639
6029.758,0.842,0.960,5.744
6031.149,0.903,0.959,5.643
6032.536,1.133,0.959,5.444
6033.927,1.339,0.959,5.475
6035.315,1.246,0.958,5.742
6036.707,0.510,0.958,5.631
6038.096,0.703,0.957,5.230
6039.485,0.989,0.956,5.142
6040.878,1.144,0.956,5.135
6042.267,1.295,0.956,5.284
6043.661,0.846,0.955,5.269
6045.051,0.779,0.955,5.074
6046.445,0.875,0.954,5.055
6047.836,0.556,0.954,5.055
6049.227,0.528,0.954,4.839
6050.622,0.931,0.954,4.842
6052.014,0.260,0.954,5.058
6053.410,0.885,0.954,4.895
6054.802,1.117,0.953,4.955
6056.198,1.225,0.953,4.706
6057.592,1.266,0.953,4.699
6058.985,0.912,0.952,4.496
6060.382,0.591,0.952,4.724
6061.777,1.130,0.951,4.804
6063.174,1.408,0.951,4.897
6064.569,1.188,0.952,4.700
6065.968,1.094,0.952,4.693
6067.363,1.397,0.952,4.837
6068.759,1.281,0.952,5.065
6070.158,0.868,0.952,5.002
6071.555,1.265,0.951,4.791
6072.955,1.612,0.950,4.644
6074.352,1.251,0.950,4.561
6075.753,0.679,0.950,4.736
6077.150,0.936,0.950,4.414
6078.549,1.239,0.950,4.504
6079.950,1.592,0.950,4.442
6081.349,1.209,0.949,4.399
6082.751,0.822,0.949,4.221
6084.151,0.936,0.949,4.500
6085.554,0.230,0.948,4.415
6086.954,0.921,0.948,4.439
6088.354,0.918,0.948,4.663
6089.758,1.093,0.948,4.452
6091.159,1.363,0.948,4.058
6092.563,1.072,0.947,4.626
6093.965,0.974,0.946,4.525
6095.370,0.695,0.945,4.781
6096.772,0.952,0.945,4.886
6098.178,0.995,0.945,4.859
6099.581,0.729,0.945,4.681
6100.984,0.788,0.944,4.341
6102.391,1.276,0.945,4.514
6103.795,1.255,0.945,4.691
6105.203,1.597,0.946,4.672
6106.607,1.304,0.945,4.820
6108.015,0.694,0.945,4.881
6109.420,0.711,0.945,4.824
6110.826,0.885,0.944,5.003
6112.235,1.200,0.943,5.316
6113.641,0.673,0.943,5.499
6115.051,0.653,0.942,5.299
6116.458,1.174,0.941,5.148
6117.868,1.179,0.940,4.953
6119.276,0.699,0.940,4.693
6120.683,0.722,0.940,4.531
6122.095,1.152,0.940,4.487
6123.503,1.284,0.941,4.527
6124.915,0.729,0.941,4.080
6126.324,0.116,0.940,4.439
6127.737,0.634,0.939,4.449
6129.147,0.762,0.939,4.502
6130.557,1.065,0.938,4.485
6131.970,1.289,0.936,4.107
6133.381,1.049,0.934,4.374
6134.795,0.515,0.934,4.451
6136.207,0.487,0.934,4.524
6137.622,1.147,0.933,4.892
6139.034,1.525,0.933,5.284
6140.446,1.309,0.933,5.951
6141.862,0.997,0.932,5.732
6143.275,0.943,0.932,5.431
6144.691,0.697,0.932,5.820
6146.105,0.833,0.932,6.069
6147.522,1.756,0.932,5.111
6148.936,1.394,0.931,4.562
6150.351,0.281,0.930,4.551
6151.769,0.353,0.929,4.673
6153.184,1.104,0.927,4.800
6154.603,1.049,0.928,4.747
6156.019,0.945,0.928,4.909
6157.439,0.983,0.928,4.898
6158.855,0.899,0.928,4.694
6160.272,0.768,0.928,4.953
6161.693,1.130,0.928,5.237
6163.110,0.918,0.929,5.253
6164.531,1.070,0.929,4.929
6165.949,1.293,0.929,4.657
6167.371,1.090,0.928,4.248
6168.790,0.662,0.928,4.805
6170.209,0.916,0.929,6.133
6171.632,1.681,0.929,7.614
6173.052,0.741,0.929,7.143
6174.475,0.951,0.929,5.388
6175.896,1.761,0.929,4.911
6177.320,1.107,0.929,5.159
6178.741,1.030,0.929,4.701
6180.162,1.231,0.929,4.112
6181.588,0.922,0.928,4.092
6183.010,1.025,0.927,4.252
6184.435,1.152,0.925,4.470
6185.858,0.832,0.925,4.651
6187.285,1.389,0.925,4.194
6188.708,0.906,0.925,4.197
6190.132,0.906,0.925,4.296
6191.559,0.583,0.925,4.365
6192.983,0.553,0.926,4.555
6194.412,1.325,0.925,4.946
6195.837,0.675,0.925,4.615
6197.265,0.716,0.924,4.056
6198.691,0.926,0.924,4.051
6200.117,0.957,0.923,4.018
6201.547,1.156,0.923,4.715
6202.973,1.447,0.923,5.984
6204.404,0.805,0.923,6.237
6205.831,0.770,0.922,5.308
6207.262,0.983,0.921,4.389
6208.690,0.988,0.920,4.097
6210.122,1.068,0.920,4.238
6211.550,1.238,0.920,4.387
6212.979,0.650,0.919,4.842
6214.412,1.002,0.918,4.912
6215.842,0.280,0.918,4.511
6217.275,0.217,0.917,3.911
6218.705,0.969,0.917,3.792
6220.139,1.168,0.916,4.293
6221.570,1.021,0.915,5.804
6223.002,0.561,0.914,6.551
6224.437,1.183,0.914,6.060
6225.869,1.273,0.913,4.753
6227.304,0.601,0.912,3.929
6228.737,0.443,0.911,4.027
6230.173,0.957,0.910,4.070
6231.606,1.155,0.910,4.133
6233.040,0.650,0.910,5.379
6234.477,0.880,0.910,8.351
6235.911,1.556,0.910,13.164
6237.349,1.459,0.909,14.665
6238.784,1.083,0.909,12.361
6240.223,0.625,0.908,9.073
6241.659,0.748,0.907,7.805
6243.094,0.996,0.907,8.016
6244.534,1.378,0.908,7.285
6245.971,1.672,0.908,6.397
6247.411,0.662,0.909,5.107
6248.848,0.494,0.909,4.776
6250.289,0.993,0.909,4.686
6251.727,1.100,0.909,4.089
6253.165,0.922,0.909,3.856
6254.607,1.065,0.910,4.123
6256.046,1.139,0.910,5.543
6257.489,1.294,0.910,9.742
6258.928,1.073,0.909,13.774
6260.371,1.001,0.909,12.415
6261.812,1.035,0.908,7.982
6263.252,0.840,0.908,5.616
6264.696,0.774,0.908,6.361
6266.138,0.294,0.907,7.595
6267.583,0.347,0.907,7.279
6269.024,0.956,0.906,5.902
6270.470,1.354,0.903,5.191
6271.913,1.236,0.897,4.800
6273.355,1.434,0.892,4.466
6274.802,0.885,0.894,4.705
6276.246,1.130,0.896,5.535
6277.693,0.877,0.898,6.282
6279.137,0.597,0.900,6.013
6280.585,1.287,0.902,5.242
6282.030,1.031,0.902,4.527
6283.475,1.108,0.901,4.127
6284.924,0.812,0.900,4.699
6286.370,0.418,0.899,6.928
6287.819,1.310,0.899,11.134
6289.266,2.878,0.898,11.698
6290.716,1.333,0.897,8.439
6292.163,1.384,0.897,5.782
6293.611,0.923,0.896,4.674
6295.062,0.645,0.896,4.500
6296.510,0.836,0.896,5.880
6297.962,-0.321,0.895,15.151
6299.411,-3.598,0.897,47.598
6300.864,-0.222,0.897,92.901
6302.313,6.479,0.897,99.429
6303.763,7.495,0.898,54.156
6305.217,3.069,0.898,16.218
6306.667,0.224,0.897,11.845
6308.122,0.914,0.896,14.732
6309.573,2.035,0.896,12.134
6311.028,1.600,0.896,6.993
6312.480,1.120,0.896,4.296
6313.932,1.105,0.896,4.014
6315.388,0.922,0.895,4.262
6316.841,0.979,0.896,4.103
6318.297,0.760,0.895,4.059
6319.751,1.287,0.895,4.428
6321.208,0.856,0.896,6.109
6322.662,0.234,0.895,7.200
6324.120,0.890,0.895,6.310
6325.575,0.521,0.895,4.848
6327.030,0.698,0.895,4.555
6328.489,0.664,0.894,6.373
6329.945,0.687,0.893,10.307
6331.405,0.963,0.893,12.075
6332.861,1.206,0.893,9.367
6334.322,1.206,0.892,5.104
6335.779,1.158,0.892,4.117
6337.236,0.787,0.891,3.909
6338.698,0.822,0.890,3.841
6340.156,1.009,0.890,3.725
6341.618,0.816,0.889,3.909
6343.077,1.117,0.889,3.908
6344.540,1.014,0.889,4.118
6345.999,1.055,0.890,4.137
6347.459,0.847,0.891,4.695
6348.923,0.694,0.891,6.071
6350.383,1.027,0.891,6.366
6351.848,0.873,0.891,5.226
6353.309,0.787,0.891,4.208
6354.774,0.678,0.890,5.059
